"Label","h=0.72, female M = male M","h=0.72, sex-specific M","est. h, sex-specific M"
"N.Parms",113,114,115
"TOTAL",2618.64,2597.98,2596.26
"Survey",25.7947,24.5116,22.772
"Length_comp",578.65,572.241,572.702
"Age_comp",1987.97,1976.25,1975.4
"Recruitment",25.5006,24.9152,24.1151
"Parm_priors",0.71472,0.0553727,1.27074
"NatM_uniform_Fem_GP_1",0.223506,0.171052,0.174703
"L_at_Amax_Fem_GP_1",47.8291,48.19,48.1652
"VonBert_K_Fem_GP_1",0.195816,0.193531,0.193738
"CV_young_Fem_GP_1",0.104663,0.110246,0.109908
"CV_old_Fem_GP_1",0.0399209,0.0372932,0.0375219
"NatM_uniform_Mal_GP_1",0,0.260589,0.252756
"L_at_Amax_Mal_GP_1",-0.359903,-0.337454,-0.337182
"VonBert_K_Mal_GP_1",0.625535,0.549249,0.548284
"CV_young_Mal_GP_1",0.177446,0.208244,0.211151
"CV_old_Mal_GP_1",0.427694,0.148289,0.145386
"SR_LN(R0)",10.9912,10.2476,10.4109
"SR_BH_steep",0.72,0.72,0.432765
"Q_extraSD_CalCOFI_Survey(11)",0.341764,0.313158,0.292722
"Q_extraSD_RREAS_YOY_Survey(12)",1.25226,1.23343,1.23644
"Size_DblN_peak_NoCA_HKL(1)",43.7835,41.2474,41.2614
"Size_DblN_ascend_se_NoCA_HKL(1)",4.58693,4.42847,4.43007
"Size_DblN_descend_se_NoCA_HKL(1)",5.57189,5.02413,5.06433
"Size_DblN_peak_SoCA_HKL(2)",24.3076,24.2451,24.2588
"Size_DblN_ascend_se_SoCA_HKL(2)",1.46147,1.41033,1.41671
"Size_DblN_descend_se_SoCA_HKL(2)",6.51206,5.78144,5.80263
"Size_DblN_peak_CA_TWL(3)",46.0584,44.6731,44.7644
"Size_DblN_ascend_se_CA_TWL(3)",4.49986,4.50165,4.50637
"Size_DblN_descend_se_CA_TWL(3)",2.88813,2.98528,2.98802
"Size_DblN_peak_OR_WA_Comm(4)",55.0277,41.925,42.1887
"Size_DblN_ascend_se_OR_WA_Comm(4)",5.41418,4.47569,4.49958
"Size_DblN_peak_CA_NET(5)",47.4944,45.8676,45.8868
"Size_DblN_ascend_se_CA_NET(5)",4.36213,4.30744,4.30888
"Size_DblN_descend_se_CA_NET(5)",9.35399,3.63213,3.64592
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",47.8277,43.4907,43.5879
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.27166,5.08974,5.0945
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",9.93542,4.32053,4.34385
"Size_DblN_peak_SoCA_Rec(7)",24.6826,24.6445,24.6724
"Size_DblN_ascend_se_SoCA_Rec(7)",2.9385,2.91266,2.9183
"Size_DblN_descend_se_SoCA_Rec(7)",2.77211,3.36501,3.34251
"Size_DblN_end_logit_SoCA_Rec(7)",-0.484726,-1.10801,-1.07769
"Size_DblN_peak_TWL_discard(8)",29.9483,29.5467,29.5878
"Size_DblN_ascend_se_TWL_discard(8)",4.27347,4.18199,4.18506
"Size_DblN_descend_se_TWL_discard(8)",3.26718,3.20012,3.19276
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.7774,50.2373,50.1818
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.11722,4.05049,4.04648
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",50.6298,47.4103,47.4388
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.83794,4.71708,4.71842
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",37.6661,33.5853,33.6074
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.99738,3.23437,3.23973
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",33.2762,30.5808,30.5488
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",4.17607,3.73193,3.72584
"Bratio_2025",0.64636,0.602521,0.4701
"SSB_unfished",15855.9,13944.9,15678.3
"Totbio_unfished",87868.4,61068.6,69364.8
"Recr_unfished",59347.2,28215.2,33219.5
"Dead_Catch_SPR",4340.31,2508.65,1665.63
"OFLCatch_2025",5894.41,2894.42,2626.33
