"Label","logR0=8.5","logR0=9","logR0=9.5","logR0=10","logR0=10.24","logR0=10.5","logR0=11","logR0=11.5"
"N.Parms",114,114,114,114,114,114,114,114
"TOTAL",2663.8,2641.15,2627.15,2620.92,2620.26,2620.95,2625.28,2631.15
"Survey",44.2273,35.275,28.9909,25.4151,24.5755,24.253,25.2936,28.3319
"Length_comp",576.836,572.245,569.284,568.587,569.086,570.204,574.297,580.565
"Age_comp",2009.11,2006.45,2004.54,2003.04,2002.35,2001.57,1999.35,1995.68
"Recruitment",30.8434,26.3208,24.1936,23.8616,24.1847,24.7539,25.9057,25.8889
"Parm_priors",2.77195,0.860835,0.137057,0.00337508,0.0527639,0.156248,0.430274,0.685328
"NatM_uniform_Fem_GP_1",0.0743583,0.102724,0.131171,0.158266,0.170632,0.183479,0.205692,0.221792
"L_at_Amax_Fem_GP_1",48.3976,48.3339,48.2533,48.1898,48.1693,48.156,48.1666,48.2358
"VonBert_K_Fem_GP_1",0.193303,0.193513,0.193862,0.194016,0.193995,0.193898,0.193471,0.192712
"CV_young_Fem_GP_1",0.113812,0.11212,0.110262,0.10887,0.108404,0.108052,0.107925,0.108751
"CV_old_Fem_GP_1",0.0349182,0.0357334,0.0367055,0.0375156,0.0378172,0.0380695,0.038269,0.0379576
"NatM_uniform_Mal_GP_1",0.682117,0.502223,0.381552,0.297359,0.265634,0.236125,0.192541,0.166952
"L_at_Amax_Mal_GP_1",-0.330127,-0.331283,-0.33199,-0.332626,-0.332921,-0.333297,-0.333796,-0.334179
"VonBert_K_Mal_GP_1",0.546567,0.54508,0.54269,0.54067,0.539875,0.539366,0.538066,0.537443
"CV_young_Mal_GP_1",0.169349,0.18017,0.192146,0.200449,0.202976,0.20446,0.204924,0.200218
"CV_old_Mal_GP_1",0.11087,0.115138,0.113968,0.112431,0.111547,0.11128,0.107242,0.102307
"SR_LN(R0)",8.5,9,9.5,10,10.2399,10.5,11,11.5
"Q_extraSD_CalCOFI_Survey(11)",0.316723,0.314267,0.313173,0.312439,0.313346,0.315898,0.327949,0.354001
"Q_extraSD_RREAS_YOY_Survey(12)",1.17258,1.18919,1.20785,1.22582,1.23395,1.24246,1.25822,1.27363
"Size_DblN_peak_NoCA_HKL(1)",41.1083,41.2025,41.2658,41.2784,41.2544,41.2002,40.9578,40.5571
"Size_DblN_ascend_se_NoCA_HKL(1)",4.52115,4.50012,4.47704,4.45174,4.43803,4.42161,4.38219,4.33796
"Size_DblN_descend_se_NoCA_HKL(1)",4.75181,4.82241,4.93428,5.02171,5.04188,5.04298,4.96707,4.80968
"Size_DblN_peak_SoCA_HKL(2)",23.8879,23.9952,24.1012,24.2,24.2445,24.2906,24.3727,24.431
"Size_DblN_ascend_se_SoCA_HKL(2)",1.20686,1.27065,1.32916,1.38065,1.40301,1.42601,1.46714,1.49762
"Size_DblN_descend_se_SoCA_HKL(2)",5.45352,5.52177,5.61126,5.7141,5.76629,5.82351,5.92095,5.97105
"Size_DblN_peak_CA_TWL(3)",43.9473,44.0979,44.3227,44.5753,44.6987,44.821,44.9811,44.9711
"Size_DblN_ascend_se_CA_TWL(3)",4.55342,4.5321,4.52032,4.51372,4.51202,4.51018,4.50571,4.49786
"Size_DblN_descend_se_CA_TWL(3)",3.01533,3.00074,3.00461,2.99841,2.98744,2.97186,2.93049,2.88366
"Size_DblN_peak_OR_WA_Comm(4)",39.329,39.9165,40.6757,41.5643,42.0432,42.5516,43.5255,44.0869
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.30527,4.34068,4.39156,4.45743,4.49552,4.53493,4.61407,4.65956
"Size_DblN_peak_CA_NET(5)",45.9977,46.0287,46.0632,46.0247,45.9693,45.8807,45.5981,45.1582
"Size_DblN_ascend_se_CA_NET(5)",4.36367,4.354,4.34519,4.33056,4.32085,4.30844,4.27904,4.24173
"Size_DblN_descend_se_CA_NET(5)",3.61924,3.65789,3.70636,3.70766,3.6855,3.64679,3.52811,3.40497
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",42.6185,42.8347,43.1117,43.3862,43.5026,43.6052,43.6336,43.3903
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.14983,5.13157,5.11771,5.10521,5.09927,5.09219,5.0721,5.04453
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.04461,4.1255,4.23454,4.33609,4.37313,4.40021,4.40192,4.33022
"Size_DblN_peak_SoCA_Rec(7)",24.1667,24.3018,24.4633,24.6088,24.6727,24.738,24.8456,24.9094
"Size_DblN_ascend_se_SoCA_Rec(7)",2.81061,2.84112,2.87759,2.90764,2.91997,2.93221,2.95093,2.95994
"Size_DblN_descend_se_SoCA_Rec(7)",3.6297,3.57017,3.48218,3.39339,3.35209,3.3087,3.24034,3.21023
"Size_DblN_end_logit_SoCA_Rec(7)",-1.70836,-1.55525,-1.38227,-1.21228,-1.13513,-1.05633,-0.934383,-0.878484
"Size_DblN_peak_TWL_discard(8)",28.9036,29.0471,29.2259,29.4138,29.5005,29.5966,29.7513,29.8305
"Size_DblN_ascend_se_TWL_discard(8)",4.14648,4.15119,4.1601,4.1691,4.17252,4.17692,4.18164,4.17999
"Size_DblN_descend_se_TWL_discard(8)",3.25517,3.248,3.23246,3.21241,3.20254,3.18988,3.16755,3.15489
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.595,50.5054,50.4528,50.3574,50.291,50.2039,49.9663,49.6348
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.08537,4.0741,4.06738,4.05851,4.05288,4.04573,4.02784,4.00546
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4987,47.5593,47.6389,47.6213,47.5626,47.4656,47.1443,46.627
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.79396,4.777,4.76324,4.74522,4.7343,4.72137,4.69433,4.66443
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",32.6747,32.9319,33.1938,33.4109,33.4902,33.5763,33.5703,33.3475
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.06814,3.11832,3.16644,3.20176,3.21286,3.22631,3.21249,3.15317
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.001,30.156,30.3005,30.4116,30.4535,30.495,30.547,30.5431
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.6871,3.69763,3.70678,3.71141,3.71216,3.71262,3.70989,3.69997
"Bratio_2025",0.386037,0.51375,0.578505,0.594923,0.593058,0.588401,0.5864,0.619961
"SSB_unfished",11407.9,10870.6,11348.1,12817.2,13903.5,15416.1,19718.3,27423.3
"Totbio_unfished",37664,39132.9,44415.1,54182.4,60830.5,69863.7,94791.7,137209
"Recr_unfished",4914.77,8103.08,13359.7,22026.5,27998.3,36315.5,59874.1,98715.8
"Dead_Catch_SPR",791.474,1069.95,1479.33,2094.4,2493.65,3029.22,4483.56,6864.59
"OFLCatch_2025",696.195,1137,1682.75,2398.18,2834.35,3408.09,5002.64,7973.06
