"Label","0.1 * Francis","0.5 * Francis","Francis M146"
"N.Parms",114,114,114
"TOTAL",294.237,1335.27,2620.26
"Survey",17.6292,22.0571,24.5754
"Length_comp",57.8382,286.35,569.086
"Age_comp",206.335,1007.02,2002.35
"Recruitment",12.3732,19.7496,24.1847
"Parm_priors",0.0564159,0.0839902,0.052763
"NatM_uniform_Fem_GP_1",0.171218,0.175188,0.170632
"L_at_Amax_Fem_GP_1",48.0568,48.0948,48.1693
"VonBert_K_Fem_GP_1",0.194052,0.194318,0.193995
"CV_young_Fem_GP_1",0.104415,0.106253,0.108403
"CV_old_Fem_GP_1",0.0382399,0.0385583,0.0378172
"NatM_uniform_Mal_GP_1",0.24243,0.240949,0.265634
"L_at_Amax_Mal_GP_1",-0.345289,-0.345234,-0.332921
"VonBert_K_Mal_GP_1",0.590449,0.588366,0.539875
"CV_young_Mal_GP_1",-0.106144,-0.101121,0.202977
"CV_old_Mal_GP_1",0.546708,0.530418,0.111547
"SR_LN(R0)",10.2691,10.32,10.2399
"Q_extraSD_CalCOFI_Survey(11)",0.281935,0.301455,0.313346
"Q_extraSD_RREAS_YOY_Survey(12)",1.14982,1.21295,1.23395
"Size_DblN_peak_NoCA_HKL(1)",42.8144,41.8828,41.2543
"Size_DblN_ascend_se_NoCA_HKL(1)",4.52145,4.4514,4.43802
"Size_DblN_descend_se_NoCA_HKL(1)",5.73478,5.1283,5.04207
"Size_DblN_peak_SoCA_HKL(2)",24.5213,24.3487,24.2445
"Size_DblN_ascend_se_SoCA_HKL(2)",1.51373,1.43452,1.40305
"Size_DblN_descend_se_SoCA_HKL(2)",5.84816,5.86503,5.76629
"Size_DblN_peak_CA_TWL(3)",44.9084,44.6959,44.6987
"Size_DblN_ascend_se_CA_TWL(3)",4.47131,4.47026,4.51202
"Size_DblN_descend_se_CA_TWL(3)",3.02928,3.06497,2.98744
"Size_DblN_peak_OR_WA_Comm(4)",42.2525,42.0756,42.0433
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.38749,4.42286,4.49554
"Size_DblN_peak_CA_NET(5)",47.2298,46.211,45.9693
"Size_DblN_ascend_se_CA_NET(5)",4.37832,4.30757,4.32086
"Size_DblN_descend_se_CA_NET(5)",7.26649,4.00059,3.6855
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",45.865,44.3285,43.5026
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.17656,5.10684,5.09927
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.83549,4.3855,4.37314
"Size_DblN_peak_SoCA_Rec(7)",24.7067,24.6748,24.6727
"Size_DblN_ascend_se_SoCA_Rec(7)",2.9555,2.94078,2.91997
"Size_DblN_descend_se_SoCA_Rec(7)",3.08178,3.1379,3.35209
"Size_DblN_end_logit_SoCA_Rec(7)",-0.906913,-0.948575,-1.13513
"Size_DblN_peak_TWL_discard(8)",29.8942,29.6843,29.5005
"Size_DblN_ascend_se_TWL_discard(8)",4.22816,4.22185,4.17252
"Size_DblN_descend_se_TWL_discard(8)",3.22324,3.24673,3.20254
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.7707,50.5307,50.291
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.09111,4.07382,4.05288
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",49.0526,47.8656,47.5625
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.73503,4.70194,4.73429
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",36.1447,35.2033,33.4902
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.75436,3.58237,3.21286
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.3855,31.0912,30.4535
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.90316,3.83418,3.71216
"Bratio_2025",0.469984,0.54613,0.593059
"SSB_unfished",14051.1,14161,13903.6
"Totbio_unfished",62180.3,63013.8,60830.5
"Recr_unfished",28827.3,30332.1,27998.3
"Dead_Catch_SPR",2549.98,2622.38,2493.65
"OFLCatch_2025",2494.21,2837.61,2834.36
